LAT,LON,YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,RH2M,T2M_MAX,T2M_MIN
2.5,-72.5,2022,3,14,7.33,3.58,91.49,28.69,21.36
3.5,-72.5,2022,3,14,7.31,2.98,88.21,28.82,22.81
4.5,-72.5,2022,3,14,7.35,3.3,84.11,28.57,22.72
5.5,-72.5,2022,3,14,7.69,3.55,90.34,21.84,16.99
6.5,-72.5,2022,3,14,7.59,4.48,89.86,15.6,9.85
2.5,-72.5,2022,3,15,7.31,6.08,88.41,29.29,23.22
3.5,-72.5,2022,3,15,7.25,6.21,82.56,30.01,23.33
4.5,-72.5,2022,3,15,7.21,5.26,78.99,29.59,22.86
5.5,-72.5,2022,3,15,7.49,4.92,82.06,23.87,15.64
6.5,-72.5,2022,3,15,7.7,5.0,80.75,19.14,7.88
2.5,-72.5,2022,3,16,6.97,5.46,88.95,29.24,22.86
3.5,-72.5,2022,3,16,6.91,5.78,82.51,30.33,21.78
4.5,-72.5,2022,3,16,6.9,5.6,76.74,31.21,22.66
5.5,-72.5,2022,3,16,7.16,5.44,81.27,24.44,15.48
6.5,-72.5,2022,3,16,7.6,5.56,81.35,18.79,8.99
2.5,-72.5,2022,3,17,7.16,4.56,90.76,27.36,23.16
3.5,-72.5,2022,3,17,7.09,4.78,83.23,30.38,22.56
4.5,-72.5,2022,3,17,7.09,4.88,78.65,31.72,22.9
